"category_id","lv1_category_kr","lv1_category_en","lv2_category_kr","lv2_category_en","lv3_category_kr","lv3_category_en","sku_category_id"
"naver_000011","스킨케어","Skincare","선케어","Suncare","선스프레이","Sun Spray","sku_category_75"
"naver_000013","스킨케어","Skincare","선케어","Suncare","선케어 세트","Suncare Set","sku_category_78"
"naver_000122","스킨케어","Skincare","멘즈케어","Men","선케어(멘즈)","Suncare(Men)","sku_category_77"
"olive_young_000165","스킨케어","Skincare","선케어","Suncare","선쿠션","Sun Powder","sku_category_76"
"naver_000015","스킨케어","Skincare","선케어","Suncare","선쿠션ㆍ파우더","Sun PowderㆍCushion","sku_category_76"
"olive_young_000170","스킨케어","Skincare","선케어","Suncare","선크림","Sun Cream","sku_category_74"
"naver_000014","스킨케어","Skincare","선케어","Suncare","선크림ㆍ스틱","Sun CreamㆍStick","sku_category_74"
"olive_young_000265","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","향수","PerfumeㆍDiffuser","소용량향수","Miniature Perfume","sku_category_160"
"naver_000136","메이크업","Makeup","아이 메이크업","Eye Makeup","속눈썹영양제","Eyelash Serum","sku_category_73"
"olive_young_000016","메이크업","Makeup","베이스 메이크업","Base Makeup","쉐이딩ㆍ컨투어링","ShadingㆍContour","sku_category_19"
"naver_000127","스킨케어","Skincare","멘즈케어","Men","쉐이빙(멘즈)","Shaving(Men)","sku_category_71"
"naver_000005","스킨케어","Skincare","스킨케어 세트","Skincare Set","스킨케어 세트","Skincare Set","sku_category_159"
"olive_young_000004","스킨케어","Skincare","스킨케어 세트","Skincare Set","스킨케어 세트","Skincare Set","sku_category_159"
"naver_000007","스킨케어","Skincare","토너ㆍ미스트ㆍ오일","TonerㆍMistㆍFace Oil","스킨ㆍ토너","SkinㆍToner","sku_category_158"
"olive_young_000001","스킨케어","Skincare","토너ㆍ미스트ㆍ오일","TonerㆍMistㆍFace Oil","스킨ㆍ토너","SkinㆍToner","sku_category_158"
"naver_000117","스킨케어","Skincare","멘즈케어","Men","스킨ㆍ토너(멘즈)","SkinㆍToner(Men)","sku_category_157"
"olive_young_000115","스킨케어","Skincare","멘즈케어","Men","스타일링(멘즈)","Styling(Men)","sku_category_156"
"olive_young_000072","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","스프레이ㆍ픽서","SprayㆍFixer","sku_category_155"
"naver_000019","스킨케어","Skincare","마스크ㆍ팩","MaskㆍPack","슬리핑팩","Sleeping Pack","sku_category_154"
"olive_young_000149","스킨케어","Skincare","마스크ㆍ팩","MaskㆍPack","슬리핑팩","Sleeping Pack","sku_category_154"
"naver_000072","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","바디케어","Bodycare","아로마테라피","Aromatherapy","sku_category_153"
"naver_000046","메이크업","Makeup","아이 메이크업","Eye Makeup","아이라이너","Eyeliner","sku_category_152"
"olive_young_000026","메이크업","Makeup","아이 메이크업","Eye Makeup","아이라이너","Eyeliner","sku_category_152"
"naver_000048","메이크업","Makeup","아이 메이크업","Eye Makeup","아이브로우","Eyebrow","sku_category_151"
"olive_young_000028","메이크업","Makeup","아이 메이크업","Eye Makeup","아이브로우","Eyebrow","sku_category_151"
"naver_000045","메이크업","Makeup","아이 메이크업","Eye Makeup","아이섀도","Eyeshadow","sku_category_149"
"olive_young_000027","메이크업","Makeup","아이 메이크업","Eye Makeup","아이섀도우ㆍ팔레트","EyeshadowㆍPalette","sku_category_149"
"naver_000121","스킨케어","Skincare","멘즈케어","Men","아이케어(멘즈)","Eyecare(Men)","sku_category_148"
"olive_young_000007","스킨케어","Skincare","에센스ㆍ로션ㆍ크림","EssenceㆍLotionㆍCream","아이크림","Eye CreamㆍGel","sku_category_146"
"naver_000002","스킨케어","Skincare","에센스ㆍ로션ㆍ크림","EssenceㆍLotionㆍCream","아이크림ㆍ젤","Eye CreamㆍGel","sku_category_146"
"olive_young_000167","스킨케어","Skincare","선케어","Suncare","애프터선","After Sun","sku_category_145"
"naver_000012","스킨케어","Skincare","선케어","Suncare","애프터선","After Sun","sku_category_145"
"olive_young_000119","스킨케어","Skincare","멘즈케어","Men","애프터쉐이브(멘즈)","Aftershave(Men)","sku_category_144"
"naver_000119","스킨케어","Skincare","멘즈케어","Men","에센스(멘즈)","Essence(Men)","sku_category_143"
"naver_000009","스킨케어","Skincare","에센스ㆍ로션ㆍ크림","EssenceㆍLotionㆍCream","에센스ㆍ세럼","EssenceㆍSerum","sku_category_142"
"olive_young_000005","스킨케어","Skincare","에센스ㆍ로션ㆍ크림","EssenceㆍLotionㆍCream","에센스ㆍ세럼","EssenceㆍSerum","sku_category_142"
"naver_000112","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","향수","Perfume","여성향수","Women's Perfume","sku_category_141"
"olive_young_000077","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","향수","PerfumeㆍDiffuser","여성향수","Women's Perfume","sku_category_141"
"naver_000085","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","염색","Hair Dye","sku_category_139"
"olive_young_000113","스킨케어","Skincare","멘즈케어","Men","염색ㆍ다운펌(멘즈)","DyeㆍDown Perm(Men)","sku_category_139"
"olive_young_000173","메이크업","Makeup","네일","Nail","영양ㆍ강화제","Nail Nourishment","sku_category_138"
"olive_young_000075","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","오일ㆍ세럼","OilㆍSerum","sku_category_137"
"olive_young_000003","스킨케어","Skincare","에센스ㆍ로션ㆍ크림","EssenceㆍLotionㆍCream","올인원","All-in-One","sku_category_136"
"olive_young_000107","스킨케어","Skincare","멘즈케어","Men","올인원(멘즈)","All-in-One(Men)","sku_category_135"
"naver_000116","스킨케어","Skincare","멘즈케어","Men","올인원(멘즈)","All-in-One(Men)","sku_category_135"
"olive_young_000071","바디ㆍ헤어ㆍ향수","BodyㆍHairㆍFragrance","헤어케어","Haircare","왁스ㆍ젤ㆍ무스","WaxㆍGelㆍMousse","sku_category_134"
"naver_000017","스킨케어","Skincare","마스크ㆍ팩","MaskㆍPack","워시오프팩","Wash-Off Pack","sku_category_133"
